company_name,industry,sector,business_category,headquarters_city,headquarters_country,headquarters_full_address,year_founded,company_age,ownership,company_number,employee_count,market_cap_usd,total_revenue_usd,net_profit_usd,total_assets_usd,company_website,social_media_links,total_raised,representative_name,_source_table
Citizen,,,['Watch'],[],[],,,[],,,,,,,,,,,,campaignindia
Dumex,,,['Milk Powder'],[],[],,,[],,,,,,,,,,,,campaignindia
Avon,,,['Cosmetics'],[],[],,,[],,,,,,,,,,,,campaignindia
Airtel,,,['Mobile Service Provider'],[],[],,,[],,,,,,,,,,,,campaignindia
Sinopec,,,['Petrol/Gas Station'],[],[],,,[],,,,,,,,,,,,campaignindia
Asahi,,,['Beer'],[],[],,,[],,,,,,,,,,,,campaignindia
PTT,,,['Petrol/Gas Station'],[],[],,,[],,,,,,,,,,,,campaignindia
Coffee Bean,,,['Coffee Shop'],[],[],,,[],,,,,,,,,,,,campaignindia
Mos Burger,,,['Fast-Food'],[],[],,,[],,,,,,,,,,,,campaignindia
China Airlines,,,['Full-service Airlines'],[],[],,,[],,,,,,,,,,,,campaignindia
NEC,,,['Computer'],[],[],,,[],,,,,,,,,,,,campaignindia
Sunkist,,,['Fruit Juice'],[],[],,,[],,,,,,,,,,,,campaignindia
KTF,,,['Mobile Service Provider'],[],[],,,[],,,,,,,,,,,,campaignindia
Japan Airlines (JAL),,,['Full-service Airlines'],[],[],,,[],,,,,,,,,,,,campaignindia
China Trust,,,['Bank'],[],[],,,[],,,,,,,,,,,,campaignindia
Woolworths,,,['Supermarket'],[],[],,,[],,,,,,,,,,,,campaignindia
Sprite,,,['Carbonated Soft Drink'],[],[],,,[],,,,,,,,,,,,campaignindia
Shangri-La,,,['Hotel'],[],[],,,[],,,,,,,,,,,,campaignindia
Yili,,,['Milk'],[],[],,,[],,,,,,,,,,,,campaignindia
Electrolux,,,['White Goods'],[],[],,,[],,,,,,,,,,,,campaignindia
F&N,,,['Carbonated Soft Drink'],[],[],,,[],,,,,,,,,,,,campaignindia
Chunghwa Telecom (CHT),,,['Mobile Service Provider'],[],[],,,[],,,,,,,,,,,,campaignindia
ICBC Asia,,,['Bank'],[],[],,,[],,,,,,,,,,,,campaignindia
Tag Heuer,,,['Watch'],[],[],,,[],,,,,,,,,,,,campaignindia
China Merchants Bank,,,['Credit Card/Bank'],[],[],,,[],,,,,,,,,,,,campaignindia
The Body Shop,,,['Shower Gel/Soap'],[],[],,,[],,,,,,,,,,,,campaignindia
Giant,,,['Supermarket'],[],[],,,[],,,,,,,,,,,,campaignindia
Old Town,,,['Coffee Shop'],[],[],,,[],,,,,,,,,,,,campaignindia
Hankook,,,['Tyre'],[],[],,,[],,,,,,,,,,,,campaignindia
Taiwan Beer,,,['Beer'],[],[],,,[],,,,,,,,,,,,campaignindia
Bulgari,,,['Fragrance/Jewellery'],[],[],,,[],,,,,,,,,,,,campaignindia
Nissan,,,['Car/Automobile'],[],[],,,[],,,,,,,,,,,,campaignindia
Kumkang,,,['Men’s Shoes'],[],[],,,[],,,,,,,,,,,,campaignindia
Emirates,,,['Full-service Airlines'],[],[],,,[],,,,,,,,,,,,campaignindia
LIC,,,['Insurance'],[],[],,,[],,,,,,,,,,,,campaignindia
Kasikorn Bank,,,['Bank'],[],[],,,[],,,,,,,,,,,,campaignindia
Fisher & Paykel,,,['White Goods'],[],[],,,[],,,,,,,,,,,,campaignindia
Sensodyne,,,['Toothpaste'],[],[],,,[],,,,,,,,,,,,campaignindia
Yokohama,,,['Tyre'],[],[],,,[],,,,,,,,,,,,campaignindia
Brother,,,['Printer'],[],[],,,[],,,,,,,,,,,,campaignindia
British Petroleum (BP),,,['Petrol/Gas Station'],[],[],,,[],,,,,,,,,,,,campaignindia
Hyatt,,,['Hotel'],[],[],,,[],,,,,,,,,,,,campaignindia
Supau,,,['Sports Drink'],[],[],,,[],,,,,,,,,,,,campaignindia
CPC (China),,,['Petrol/Gas Station'],[],[],,,[],,,,,,,,,,,,campaignindia
Moccona,,,['Coffee'],[],[],,,[],,,,,,,,,,,,campaignindia
Powerade,,,['Sports Drink'],[],[],,,[],,,,,,,,,,,,campaignindia
Cafe Coffee Day,,,['Coffee'],[],[],,,[],,,,,,,,,,,,campaignindia
Advance Info Service,,,['Mobile Service Provider'],[],[],,,[],,,,,,,,,,,,campaignindia
MSN,,,['Social Networking site'],[],[],,,[],,,,,,,,,,,,campaignindia
OMO,,,['Detergent'],[],[],,,[],,,,,,,,,,,,campaignindia
Singha,,,['Beer'],[],[],,,[],,,,,,,,,,,,campaignindia
Subway,,,['Fast-Food'],[],[],,,[],,,,,,,,,,,,campaignindia
Titan,,,['Watch'],[],[],,,[],,,,,,,,,,,,campaignindia
Chow Tai Fook,,,['Jewellery'],[],[],,,[],,,,,,,,,,,,campaignindia
Lawson,,,['Convenience Store'],[],[],,,[],,,,,,,,,,,,campaignindia
SK,,,['Petrol/Gas Station'],[],[],,,[],,,,,,,,,,,,campaignindia
DTAC,,,['Mobile Service Provider'],[],[],,,[],,,,,,,,,,,,campaignindia
Ethnicans,,,['Savoury Snack Food'],[],[],,,[],,,,,,,,,,,,campaignindia
Godiva,,,['Chocolate'],[],[],,,[],,,,,,,,,,,,campaignindia
Pacific Coffee,,,['Coffee Shop'],[],[],,,[],,,,,,,,,,,,campaignindia
Audi,,,['Car/Automobile'],[],[],,,[],,,,,,,,,,,,campaignindia
Amway,,,['Toothpaste'],[],[],,,[],,,,,,,,,,,,campaignindia
Café De Coral,,,['Fast-Food'],[],[],,,[],,,,,,,,,,,,campaignindia
Surf,,,['Detergent'],[],[],,,[],,,,,,,,,,,,campaignindia
GS 25,,,['Convenience Store'],[],[],,,[],,,,,,,,,,,,campaignindia
Mild Seven,,,['Cigarette'],[],[],,,[],,,,,,,,,,,,campaignindia
Maxis,,,['Mobile Service Provider'],[],[],,,[],,,,,,,,,,,,campaignindia
Kawasaki,,,['Motorcycle'],[],[],,,[],,,,,,,,,,,,campaignindia
Bru,,,['Coffee'],[],[],,,[],,,,,,,,,,,,campaignindia
Fab,,,['Detergent'],[],[],,,[],,,,,,,,,,,,campaignindia
Lakme,,,['Cosmetics'],[],[],,,[],,,,,,,,,,,,campaignindia
Optus,,,['Mobile Service Provider'],[],[],,,[],,,,,,,,,,,,campaignindia
HDFC Bank,,,['Bank'],[],[],,,[],,,,,,,,,,,,campaignindia
Pringles,,,['Snack Food'],[],[],,,[],,,,,,,,,,,,campaignindia
Westinghouse,,,['White Goods'],[],[],,,[],,,,,,,,,,,,campaignindia
Haitai,,,['Food'],[],[],,,[],,,,,,,,,,,,campaignindia
Oishi,,,['Tea'],[],[],,,[],,,,,,,,,,,,campaignindia
Bangkok Bank,,,['Bank'],[],[],,,[],,,,,,,,,,,,campaignindia
Nok Air,,,['Budget Airlines'],[],[],,,[],,,,,,,,,,,,campaignindia
Attack,,,['Detergent'],[],[],,,[],,,,,,,,,,,,campaignindia
Samyang,,,['Instant Noodles'],[],[],,,[],,,,,,,,,,,,campaignindia
Clarks,,,['Men’s Shoes'],[],[],,,[],,,,,,,,,,,,campaignindia
Vita,,,['Beverage'],[],[],,,[],,,,,,,,,,,,campaignindia
Pokka,,,['Beverage'],[],[],,,[],,,,,,,,,,,,campaignindia
Cheers,,,['Convenience Store'],[],[],,,[],,,,,,,,,,,,campaignindia
Petronas,,,['Petrol/Gas Station'],[],[],,,[],,,,,,,,,,,,campaignindia
Apollo,,,['Pharmacy/Drugstore'],[],[],,,[],,,,,,,,,,,,campaignindia
Mentos,,,['Sweets and Candy'],[],[],,,[],,,,,,,,,,,,campaignindia
Jusco,,,['Supermarket'],[],[],,,[],,,,,,,,,,,,campaignindia
Namyang,,,['Milk Powder/Milk'],[],[],,,[],,,,,,,,,,,,campaignindia
Kopitiam,,,['Coffee Shop'],[],[],,,[],,,,,,,,,,,,campaignindia
Daum,,,['Internet Search Engine'],[],[],,,[],,,,,,,,,,,,campaignindia
Ping An Insurance,,,['Insurance'],[],[],,,[],,,,,,,,,,,,campaignindia
Kuang-Chuan,,,['Milk'],[],[],,,[],,,,,,,,,,,,campaignindia
Tatung,,,['Consumer Electronics'],[],[],,,[],,,,,,,,,,,,campaignindia
