company_name,industry,headquarters_address,headquarters_city,headquarters_country,year_founded,ownership,company_number,employee_count,market_cap_usd,total_revenue_usd,net_profit_usd,total_assets_usd,company_website,social_media_links,representative_name,total_raised,company_description,company_stage,share_price,legal_form,_source_table
Balkanstroy,Industrials,,,,1994,,,,,,,,,,,,Engineering and construction,,,,MalPatSaj-wikipedia-org
Balkantourist,Consumer services,,,,1948,,,,,,,,,,,,Travel services,,,,MalPatSaj-wikipedia-org
Balkanton,Consumer services,,,,1952,,,,,,,,,,,,Record label,,,,MalPatSaj-wikipedia-org
BH Air,Consumer services,,,,2001,,,,,,,,,,,,Passenger air transport,,,,MalPatSaj-wikipedia-org
Black Sea Studios,Technology,,,,2001,,,,,,,,,,,,"Video and computer games development, defunct 2016",,,,MalPatSaj-wikipedia-org
Blizoo,Telecommunications,,,,2010,,,,,,,,,,,,Cable operator,,,,MalPatSaj-wikipedia-org
Bulgaria Air,Consumer services,,,,2002,,,,,,,,,,,,Passenger and freight air transport,,,,MalPatSaj-wikipedia-org
Bulgarian Agricultural and Commercial Bank,Financials,,,,1969,,,,,,,,,,,,"Former state bank, rejoined central bank in 1971",,,,MalPatSaj-wikipedia-org
Bulgarian Air Charter,Consumer services,,,,2000,,,,,,,,,,,,Charter airline,,,,MalPatSaj-wikipedia-org
Bulgarian Development Bank,Financials,,,,1999,,,,,,,,,,,,Commercial bank,,,,MalPatSaj-wikipedia-org
Bulgarian Energy Holding,Oil & gas,,,,2008,,,,,,,,,,,,"Energy, gas and nuclear power",,,,MalPatSaj-wikipedia-org
Bulgarian National Bank,Financials,,,,1879,,,,,,,,,,,,Central bank,,,,MalPatSaj-wikipedia-org
Bulgarian Postbank,Financials,,,,1991,,,,,,,,,,,,Universal bank,,,,MalPatSaj-wikipedia-org
Bulgarian Posts,Industrials,,,,1879,,,,,,,,,,,,Postal and courier services,,,,MalPatSaj-wikipedia-org
Bulgarian State Railways,Industrials,,,,1885,,,,,,,,,,,,Passenger and freight rail transport,,,,MalPatSaj-wikipedia-org
Bulgartabac,Consumer goods,,,,1947,,,,,,,,,,,,Tobacco holding firm,,,,MalPatSaj-wikipedia-org
Cargoair,Industrials,,,,2007,,,,,,,,,,,,Cargo airline,,,,MalPatSaj-wikipedia-org
Central Cooperative Bank,Financials,,,,1991,,,,,,,,,,,,Universal commercial bank,,,,MalPatSaj-wikipedia-org
