company_name,industry,headquarters_address,headquarters_city,headquarters_country,year_founded,ownership,company_number,employee_count,market_cap_usd,total_revenue_usd,net_profit_usd,total_assets_usd,company_website,social_media_links,representative_name,total_raised,company_description,company_stage,share_price,legal_form,_source_table
Eog Resources,"['Energy', 'Oil&Gas']",,,USA,,,,,$81.62 B,,,,,,,,,,$138.97,,companiesMarketCap_dataset
Inditex,"['Clothing', 'Retail']",,,Spain,,,,,$82.91 B,,,,,,,,,,$13.32,,companiesMarketCap_dataset
Enbridge,"['Oil&Gas', 'Energy']",,,Canada,,,,,$82.78 B,,,,,,,,,,$40.61,,companiesMarketCap_dataset
Servicenow,"['Software', 'Internet', 'Tech']",,,USA,,,,,$83.39 B,,,,,,,,,,$412.87,,companiesMarketCap_dataset
Regeneron Pharmaceuticals,"['Biotech', 'Pharmaceuticals']",,,USA,,,,,$83.46 B,,,,,,,,,,$766.39,,companiesMarketCap_dataset
Northrop Grumman,"['Aerospace', 'Defense contractors']",,,USA,,,,,$83.97 B,,,,,,,,,,$545.60,,companiesMarketCap_dataset
Schneider Electric,"['CAC 40', 'Tech', 'Professional services', 'Software']",,,France,,,,,$84.02 B,,,,,,,,,,$147.94,,companiesMarketCap_dataset
Essilorluxottica,"['CAC 40', 'Glasses and contact lenses', 'Luxury goods']",,,France,,,,,$84.69 B,,,,,,,,,,$190.13,,companiesMarketCap_dataset
Paypal,"['Financial services', 'Tech', 'Internet', 'Bitcoin']",,,USA,,,,,$85.11 B,,,,,,,,,,$74.66,,companiesMarketCap_dataset
Al Rajhi Bank,"['Banks', 'Financial services']",,,Saudi Arabia,,,,,$85.28 B,,,,,,,,,,$21.32,,companiesMarketCap_dataset
Estee Lauder,"['Cosmetics and Beauty', 'Consumer goods']",,,USA,,,,,$85.28 B,,,,,,,,,,$239.01,,companiesMarketCap_dataset
Altria Group,['Tobacco'],,,USA,,,,,$85.36 B,,,,,,,,,,$47.63,,companiesMarketCap_dataset
Analog Devices,"['Semiconductors', 'Tech', 'Manufacturing']",,,USA,,,,,$85.88 B,,,,,,,,,,$168.63,,companiesMarketCap_dataset
Infosys,"['Professional services', 'IT services']",,,India,,,,,$86.00 B,,,,,,,,,,$20.19,,companiesMarketCap_dataset
Allianz,"['Insurance', 'DAX']",,,Germany,,,,,$86.06 B,,,,,,,,,,$213.41,,companiesMarketCap_dataset
Marsh & Mclennan Companies,"['Insurance', 'Professional services']",,,USA,,,,,$86.26 B,,,,,,,,,,$173.91,,companiesMarketCap_dataset
Moderna,"['Pharmaceuticals', 'mRNA therapeutics', 'Biotech']",,,USA,,,,,$70.05 B,,,,,,,,,,$182.35,,companiesMarketCap_dataset
Illinois Tool Works,"['Tool manufacturers', 'Manufacturing']",,,USA,,,,,$70.12 B,,,,,,,,,,$228.29,,companiesMarketCap_dataset
3m,"['Dow jones', 'Gloves & PPE']",,,USA,,,,,$70.19 B,,,,,,,,,,$126.99,,companiesMarketCap_dataset
General Dynamics,['Defense contractors'],,,USA,,,,,$70.21 B,,,,,,,,,,$255.74,,companiesMarketCap_dataset
Air Products And Chemicals,['Chemicals'],,,USA,,,,,$70.65 B,,,,,,,,,,$318.44,,companiesMarketCap_dataset
Bank Central Asia,"['Banks', 'Financial services']",,,Indonesia,,,,,$71.13 B,,,,,,,,,,$0.58,,companiesMarketCap_dataset
Brookfield Asset Management,"['Investment', 'Financial services']",,,Canada,,,,,$71.48 B,,,,,,,,,,$45.13,,companiesMarketCap_dataset
Zurich Insurance Group,['Insurance'],,,Switzerland,,,,,$71.25 B,,,,,,,,,,$480.52,,companiesMarketCap_dataset
Becton Dickinson,['Medical devices'],,,USA,,,,,$71.51 B,,,,,,,,,,$252.38,,companiesMarketCap_dataset
Glaxosmithkline,"['Biotech', 'Pharmaceuticals']",,,UK,,,,,$71.89 B,,,,,,,,,,$35.35,,companiesMarketCap_dataset
