company_name,industry,sector,year_founded,ownership,headquarters_city,headquarters_country,headquarters_full_address,company_website,total_revenue_usd,net_profit_usd,total_assets_usd,employee_count,market_cap_usd,social_media_links,total_raised,company_type,ceo_name,representative_name,_source_table
Dable,Media,,2015,,[],['South Korea'],,,15.70,,,72,,,,,,,ft-com
Jayride Group,Travel & Leisure,,2012,,[],['Australia'],,,2.84,,,112,,,,,,,ft-com
NJ-ENEX,Retail,,2015,,[],['Japan'],,,10.18,,,30,,,,,,,ft-com
Tide,Fintech,,2016,,[],['UK'],,,"16,136,633",,,581,,,,,,,ft-com
Euro Top Brand,Retail,,2017,,[],['Italy'],,,"13,888,900",,,1,,,,,,,ft-com
Happybrush,Health,,2016,,[],['Germany'],,,"5,903,800",,,12,,,,,,,ft-com
Huma Therapeutics,Health,,2011,,[],['UK'],,,"6,177,442",,,101,,,,,,,ft-com
KUPELA,Food & Beverage,,2011,,[],['France'],,,7.4,,,5,,,,,,,ft-com
Enens,Energy,,2015,,[],['France'],,,100.98,,,2,,,,,,,ft-com
Funding Societies,Fintech,,2015,,[],['Singapore'],,,16.29,,,353,,,,,,,ft-com
Foresee Pharmaceuticals ,Pharmaceuticals,,2013,,[],['Taiwan'],,,7.79,,,Not found,,,,,,,ft-com
Miss Amara,Ecommerce,,2014,,[],['Hong Kong'],,,11.26,,,54,,,,,,,ft-com
PLAYGROUND XYZ,Technology,,2015,,[],['Australia'],,,18.21,,,33,,,,,,,ft-com
Nium,Fintech,,2014,,[],['Singapore'],,,7.32,,,334,,,,,,,ft-com
Bold Security Group,Support Services,,2011,,[],['UK'],,,"6,238,378",,,26,,,,,,,ft-com
Play Magnus Group,Games industry,,2013,,[],['Norway'],,,"6,461,790",,,140,,,,,,,ft-com
Mews Systems,Technology,,2012,,[],['Netherlands'],,,"22,386,000",,,400,,,,,,,ft-com
Jungle Creations,Media,,2014,,[],['United Kingdom'],,,11.7,,,110,,,,,,,ft-com
Qred Företagslån*,Fintech,,2015,,[],['Sweden'],,,13.65,,,26,,,,,,,ft-com
Smartworks Coworking Spaces,Property,,2016,,[],['India'],,,42.93,,,309,,,,,,,ft-com
Incomlend,Fintech,,2016,,[],['Singapore'],,,2.73,,,37,,,,,,,ft-com
GATES,Property,,2012,,[],['Japan'],,,88.58,,,90,,,,,,,ft-com
Curio Group,Education,,2016,,[],['Australia'],,,4.55,,,75,,,,,,,ft-com
Apollo Tricoat Tubes,Industrial Goods,,1983,,[],['India'],,,94.35,,,206,,,,,,,ft-com
SQREEM Technologies,Technology,,2010,,[],['Singapore'],,,5.57,,,101,,,,,,,ft-com
Blue Whale Growth Fund,Financial Services,,2016,,[],['UK'],,,"5,189,391",,,7,,,,,,,ft-com
Kazidomi,Ecommerce,,2016,,[],['Belgium'],,,"8,042,499",,,65,,,,,,,ft-com
BONMEA,Retail,,2015,,[],['Germany'],,,"7,700,000",,,4,,,,,,,ft-com
FIDUCIM,Property,,2013,,[],['France'],,,8.3,,,8,,,,,,,ft-com
Mamma 2.0,Ecommerce,,2014,,[],['Italy'],,,7.21,,,19,,,,,,,ft-com
In Touch Networks,Technology,,2013,,[],['United Kingdom'],,,8.40,,,114,,,,,,,ft-com
GLOCAL NET,Telecoms,,2016,,[],['Japan'],,,24.79,,,9,,,,,,,ft-com
Wafour Corporation,Media,,2017,,[],['South Korea'],,,2.87,,,11,,,,,,,ft-com
Bomsen,Advertising,,2017,,[],['South Korea'],,,2.66,,,20,,,,,,,ft-com
SBWorks,Technology,,2016,,[],['Japan'],,,4.26,,,18,,,,,,,ft-com
InstaSafe,Cyber Security,,2012,,[],['India'],,,1.88,,,40,,,,,,,ft-com
Crowd Bank,Financial Services,,2014,,[],['Japan'],,,27.96,,,30,,,,,,,ft-com
Sun Finance,Fintech,,2012,,[],['Latvia'],,,"121,306,296",,,800,,,,,,,ft-com
Octopus Energy,Energy,,2015,,[],['UK'],,,"1,376,444,096",,,595,,,,,,,ft-com
InStaff & Jobs,Support Services,,2014,,[],['Germany'],,,5.1,,,22,,,,,,,ft-com
farmermobil,Industrial Goods,,2014,,[],['Germany'],,,7.47,,,34,,,,,,,ft-com
AD Corp.,Chemicals,,2017,,[],['South Korea'],,,1.36,,,8,,,,,,,ft-com
42Maru,Technology,,2015,,[],['South Korea'],,,2.55,,,65,,,,,,,ft-com
Vyapar,Fintech,,2016,,[],['India'],,,1.46,,,"2,217",,,,,,,ft-com
KiMURA,Construction,,2011,,[],['Japan'],,,7.32,,,15,,,,,,,ft-com
Crowd Credit,Fintech,,2013,,[],['Japan'],,,4.43,,,70,,,,,,,ft-com
Ecommerce Enablers,Ecommerce,,2014,,[],['Singapore'],,,28.30,,,465,,,,,,,ft-com
Credimi,Financial Services,,2015,,[],['Italy'],,,"11,301,520",,,56,,,,,,,ft-com
SIRPLUS,Retail,,2017,,[],['Germany'],,,"4,540,000",,,133,,,,,,,ft-com
Kickmaker,Technology,,2016,,[],['France'],,,"8,809,760",,,90,,,,,,,ft-com
Eskimoz,Support Services,,2010,,[],['France'],,,6.0,,,60,,,,,,,ft-com
Holidu,Technology,,2014,,[],['Germany'],,,13.12,,,100,,,,,,,ft-com
Feiniko Handelsgesellschaft, Sales & Marketing ,,2014,,[],['Germany'],,,25.60,,,6,,,,,,,ft-com
SIKSIN,Technology,,2010,,[],['South Korea'],,,2.84,,,29,,,,,,,ft-com
LawTalk,Law,,2012,,[],['South Korea'],,,2.62,,,53,,,,,,,ft-com
I’MWEB,Ecommerce,,2010,,[],['South Korea'],,,6.68,,,40,,,,,,,ft-com
mothergoose,Education,,1994,,[],['Japan'],,,2.99,,,108,,,,,,,ft-com
Classe365,Education,,2013,,[],['Australia'],,,1.84,,,19,,,,,,,ft-com
AIHR | Academy to Innovate HR,Education,,2016,,[],['The Netherlands'],,,"3,584,553",,,31,,,,,,,ft-com
Privitar,Technology,,2014,,[],['UK'],,,"7,004,555",,,122,,,,,,,ft-com
Tantal,Ecommerce,,2003,,[],['Germany'],,,11.8,,,45,,,,,,,ft-com
Franco Fresco,Food & Beverage,,2014,,[],['Germany'],,,15.42,,,180,,,,,,,ft-com
Solbari,Ecommerce,,2013,,[],['Australia'],,,3.51,,,16,,,,,,,ft-com
InstaSafe,Technology,,2012,,[],['India'],,,2.12,,,40,,,,,,,ft-com
Blue Wireless,Telecoms,,2015,,[],['Singapore'],,,4.38,,,50,,,,,,,ft-com
Archisound,Support Services,,2010,,[],['South Korea'],,,3.46,,,9,,,,,,,ft-com
HLJ Technology,Technology,,2001,,[],['Taiwan'],,,22.76,,,270,,,,,,,ft-com
Max Kelsen,Technology,,2015,,[],['Australia'],,,3.51,,,24,,,,,,,ft-com
Logistics Capital Partners (LCP),Property,,2015,,[],['Luxembourg'],,,"210,563,743",,,27,,,,,,,ft-com
Südwest Invest,Property,,2017,,[],['Germany'],,,"5,820,402",,,10,,,,,,,ft-com
Amco-Bulgaria,Retail,,2011,,[],['Bulgaria'],,,"6,729,216",,,15,,,,,,,ft-com
Buzzoole,Media,,2013,,[],['Italy'],,,4.4,,,65,,,,,,,ft-com
Framery,Interiors,,2010,,[],['Finland'],,,39.9,,,129,,,,,,,ft-com
MessengerPeople,Technology,,2015,,[],['Germany'],,,6.72,,,68,,,,,,,ft-com
Foot District,Ecommerce,,2012,,[],['Spain'],,,5.37,,,18,,,,,,,ft-com
JCO Jewelry,Ecommerce,,2016,,[],['Singapore'],,,6.13,,,21,,,,,,,ft-com
Torana (Toysub!),Education,,2015,,[],['Japan'],,,1.16,,,160,,,,,,,ft-com
wadiz,Fintech,,2012,,[],['South Korea'],,,19.12,,,271,,,,,,,ft-com
GoodMonitoring,Support Services,,2013,,[],['South Korea'],,,1.57,,,21,,,,,,,ft-com
Redhill Communications,Advertising,,2014,,[],['Singapore'],,,3.19,,,75,,,,,,,ft-com
Jeju Angel Car,Travel & Leisure,,2013,,[],['South Korea'],,,4.49,,,25,,,,,,,ft-com
CORADE (Plurimmo),Property,,2000,,[],['France'],,,"56,018,731",,,7,,,,,,,ft-com
Carranco,Food & Beverage,,2006,,[],['Spain'],,,"4,176,440",,,5,,,,,,,ft-com
EO Charging,Technology,,2015,,[],['UK'],,,"5,327,671",,,50,,,,,,,ft-com
Metacrew Group,Advertising,,2008,,[],['Germany'],,,14.0,,,52,,,,,,,ft-com
Deelit Ventures,Travel & Leisure,,2014,,[],['Netherlands'],,,7.06,,,21,,,,,,,ft-com
Pragma,Cyber Security,,2016,,[],['Singapore'],,,1.09,,,18,,,,,,,ft-com
ProjectCompany,Management Consulting,,2016,,[],['Japan'],,,10.35,,,40,,,,,,,ft-com
SafeGold,Financial Services,,2017,,[],['India'],,,56.10,,,42,,,,,,,ft-com
RxMx,Technology,,2015,,[],['Australia'],,,10.66,,,70,,,,,,,ft-com
Tutor2You,Education,,2013,,[],['Australia'],,,1.73,,,40,,,,,,,ft-com
Supplycart,Technology,,2016,,[],['Malaysia'],,,1.86,,,26,,,,,,,ft-com
Telemedi,Health,,2014,,[],['Poland'],,,"4,452,513",,,50,,,,,,,ft-com
Inkitt,Technology,,2014,,[],['Germany'],,,"5,926,970",,,56,,,,,,,ft-com
Fastned,Technology,,2012,,[],['Netherlands'],,,"6,398,000",,,47,,,,,,,ft-com
GF Genovate*,Energy,,2014,,[],['United Kingdom'],,,20.3,,,43,,,,,,,ft-com
ID Finance Investments,Fintech,,2015,,[],['Spain'],,,41.00,,,399,,,,,,,ft-com
getAir,Industrial Goods,,2014,,[],['Germany'],,,5.30,,,Not found,,,,,,,ft-com
Minfy Technologies,Technology,,2010,,[],['India'],,,13.83,,,250,,,,,,,ft-com
M2P Fintech,Fintech,,2014,,[],['India'],,,5.15,,,330,,,,,,,ft-com
Cardoc,Technology,,2014,,[],['South Korea'],,,14.42,,,67,,,,,,,ft-com
North Star Management,Management Consulting,,2016,,[],['Japan'],,,2.76,,,9,,,,,,,ft-com
Agilesoda,Financial Services,,2015,,[],['South Korea'],,,3.63,,,62,,,,,,,ft-com
Hope,Support Services,,2005,,[],['Japan'],,,132.43,,,167,,,,,,,ft-com
H.K.Trading,Retail,,2016,,[],['Italy'],,,"5,721,590",,,2,,,,,,,ft-com
Foot District,Ecommerce,,2012,,[],['Spain'],,,"10,393,000",,,40,,,,,,,ft-com
TenderHut,Technology,,2010,,[],['Poland'],,,3.7,,,200,,,,,,,ft-com
PastBook,Ecommerce,,2012,,[],['Netherlands'],,,9.16,,,15,,,,,,,ft-com
Supermercato24,Ecommerce,,2014,,[],['Italy'],,,14.00,,,80,,,,,,,ft-com
GGDP,Advertising,,2017,,[],['South Korea'],,,1.71,,,14,,,,,,,ft-com
excess2sell,Ecommerce,,2016,,[],['India'],,,13.39,,,12,,,,,,,ft-com
Reflow Hub,Technology,,2017,,[],['Australia'],,,25.46,,,10,,,,,,,ft-com
Ryukyu Style,Advertising,,2014,,[],['Japan'],,,11.79,,,9,,,,,,,ft-com
Zomato,Ecommerce,,2010,,[],['India'],,,5.60,,,Not found,,,,,,,ft-com
Attest,Technology,,2015,,[],['UK'],,,"4,864,178",,,124,,,,,,,ft-com
