company_name,industry,sector,business_category,headquarters_city,headquarters_country,headquarters_full_address,year_founded,ownership,company_number,employee_count,market_cap_usd,total_revenue_usd,net_profit_usd,total_assets_usd,company_website,social_media_links,total_raised,representative_name,_source_table
Upgrade Careers,Financial Services,,[],San Francisco,CA,,2016.0,,,201 to 500 employees,,,,,upgrade.com,,,,DDD-teamblind-com
SAC Wireless Careers,Telecommunications,,[],Chicago,IL,,1996.0,,,"1,001 to 5,000 employees",,,,,www.sacw.com,,,,DDD-teamblind-com
Tucows Careers,Information Technology & Services,,[],Toronto,Canada,,1993.0,,,"501 to 1,000 employees",,,,,www.tucows.com,,,,DDD-teamblind-com
Sixth Man Careers,Computer Software,,[],Atlanta,GA,,2001.0,,,1 to 50 employees,,,,,www.sixthman.net,,,,DDD-teamblind-com
Hawthorn Careers,Financial Services,,[],Pittsburgh,PA,,1845.0,,,"10,000+ employees",,,,,www.pnc.com,,,,DDD-teamblind-com
OpenGov Inc. Careers,Internet,,[],Redwood City,CA,,2012.0,,,51 to 200 employees,,,,,opengov.com,,,,DDD-teamblind-com
ITC Limited Careers,Consumer Goods,,[],Kolkata,India,,1910.0,,,"10,000+ employees",,,,,www.itcportal.com,,,,DDD-teamblind-com
SmartStudy Careers,Entertainment,,[],Seoul,South Korea,,2010.0,,,201 to 500 employees,,,,,www.smartstudy.co.kr,,,,DDD-teamblind-com
Masterclass Careers,E-learning,,[],San Francisco,CA,,2012.0,,,201 to 500 employees,,,,,www.masterclass.com,,,,DDD-teamblind-com
ACS Solutions Careers,Information Technology & Services,,[],Duluth,GA,,1998.0,,,"10,000+ employees",,,,,www.acsicorp.com,,,,DDD-teamblind-com
zuumers Careers,Consumer Electronics,,[],San Francisco,CA,,2017.0,,,1 to 50 employees,,,,,www.zuumers.com,,,,DDD-teamblind-com
DocuSign Careers,Computer Software,,[],Seattle,WA,,2003.0,,,"1,001 to 5,000 employees",,,,,www.docusign.com,,,,DDD-teamblind-com
King Street Capital Management Careers,Investment Management,,[],New York,NY,,1995.0,,,201 to 500 employees,,,,,www.kingstreet.com,,,,DDD-teamblind-com
