company_name,industry,headquarters_address,headquarters_city,headquarters_country,year_founded,ownership,company_number,employee_count,market_cap_usd,total_revenue_usd,net_profit_usd,total_assets_usd,company_website,social_media_links,representative_name,total_raised,company_description,company_stage,share_price,legal_form,_source_table
Isab Srl,Manufacturing,EX S.S. 114 KM 146 SNC,SIRACUSA,ITALY,2008,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Astm Spa,"Finance, Insurance, and Real Estate",CORSO REGINA MARGHERITA 165,TORINO,ITALY,1928,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Alessandro Patane' Srl,Services,VIA AMASENO 24,LATINA,ITALY,1999,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Fpt Industrial Spa,Manufacturing,VIA PUGLIA 15,TORINO,ITALY,1974,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Luxottica Group Spa,Wholesale Trade,PIAZZALE LUIGI CADORNA 3,MILANO,ITALY,1981,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
De' Longhi Spa,"Finance, Insurance, and Real Estate",VIA LODOVICO SEITZ 47,TREVISO,ITALY,1992,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Bridgestone Europe Nv Sa,Manufacturing,VIA ENERGY PARK 14,MONZA E BRIANZA,ITALY,2013,Foreign Company,,,,,,,,,,,,,,,hitHorizons_dataset
Gi Group Spa,Services,PIAZZA IV NOVEMBRE 5,MILANO,ITALY,1995,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Cnp Unicredit Vita Spa,"Finance, Insurance, and Real Estate",VIA EMILIO CORNALIA 30,MILANO,ITALY,1996,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Mapei Spa,Manufacturing,VIALE EDOARDO JENNER 4,MILANO,ITALY,1961,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Emme Esse Vi Srl,"Finance, Insurance, and Real Estate",VIA SASSOFERRATO 1,MILANO,ITALY,2007,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Nintendo Of Europe Gmbh,Services,VIA TORRI BIANCHE 6,MONZA E BRIANZA,ITALY,2002,Foreign Company,,,,,,,,,,,,,,,hitHorizons_dataset
Snam Spa,"Finance, Insurance, and Real Estate",PIAZZA SANTA BARBARA 7,MILANO,ITALY,1941,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
A2a Energia Spa,"Transportation, Communications, Electric, Gas, and Sanitary Services",CORSO DI PORTA VITTORIA 4,MILANO,ITALY,1999,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Grimaldi Group Spa,"Transportation, Communications, Electric, Gas, and Sanitary Services",VIA MARCHESE CAMPODISOLA 13,NAPOLI,ITALY,1945,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Veronesi Holding Spa,Services,VIA VALPANTENA 18/G,VERONA,ITALY,1984,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Nuovo Pignone International Srl,Manufacturing,VIA FELICE MATTEUCCI 2,FIRENZE,ITALY,1954,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Gruppo Unicomm Spa,"Finance, Insurance, and Real Estate",VIA ENRICO MATTEI 50,VICENZA,ITALY,1969,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Chiesi Farmaceutici Spa,Manufacturing,VIA PALERMO 26/A,PARMA,ITALY,1935,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Valline Srl,"Finance, Insurance, and Real Estate",STRADELLO MARCHE 6,PARMA,ITALY,1990,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Eni Fuel Spa,Retail Trade,VIALE GIORGIO RIBOTTA 51,ROMA,ITALY,1985,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Comifar Spa,"Finance, Insurance, and Real Estate",VIA FRATELLI DI DIO 2,MILANO,ITALY,1944,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Whirlpool Emea Spa,Manufacturing,STRADA PROVINCIALE ARCEVIESE 139/A,ANCONA,ITALY,1930,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Bmw Italia Spa,Retail Trade,VIA DELL'UNIONE EUROPEA 1,MILANO,ITALY,1973,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Conad Nord Ovest Societa' Cooperativa A R.l.,Wholesale Trade,VIA BURE VECCHIA NORD 10,PISTOIA,ITALY,1964,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Unicoop Firenze Soc Coop,"Finance, Insurance, and Real Estate",VIA SANTA REPARATA 43,FIRENZE,ITALY,1891,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Spesa Intelligente Spa,Wholesale Trade,VIA CAMPALTO 3/D,VERONA,ITALY,1992,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Banca Monte Dei Paschi Di Siena Spa,"Finance, Insurance, and Real Estate",PIAZZA SALIMBENI 3,SIENA,ITALY,1472,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Rai Radiotelevisione Italiana Spa,"Transportation, Communications, Electric, Gas, and Sanitary Services",VIALE GIUSEPPE MAZZINI 14,ROMA,ITALY,2001,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
De La Costa Srl,"Finance, Insurance, and Real Estate",VIA PORTICI UMBERTO I 5/3,VERONA,ITALY,2018,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Calzedonia Holding Spa,"Finance, Insurance, and Real Estate",VIA MONTE BALDO 20,VERONA,ITALY,2008,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Eurizon Capital Sgr Spa,"Finance, Insurance, and Real Estate",PIAZZETTA GIORDANO DELL'AMORE 3,MILANO,ITALY,1983,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Finiper Canova Group Spa,"Finance, Insurance, and Real Estate",VIA AMILCARE PONCHIELLI 7,MILANO,ITALY,2008,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Bper Banca Spa,"Finance, Insurance, and Real Estate",VIA SAN CARLO 8/20,MODENA,ITALY,1867,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Gecos - Generale Di Commercio E Servizi Spa,"Finance, Insurance, and Real Estate",VIA DELLE INDUSTRIE 8,VENEZIA,ITALY,1958,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Gruppo Pam Spa,Wholesale Trade,VIA DELLE INDUSTRIE 8,VENEZIA,ITALY,1980,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
